Titre,URL,Note,Pseudo,Avis
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=1,"0,5",Childeric,"Quelle purge... Long, laborieux, laid, d'une platitude confondante et mon dieu ce scénario... J'en ai vus des navets dans ma vie mais j'ai rarement vu un truc aussi stupide."
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=1,"1,5",Stef S,"Le premier avec Lee Remick était très bon..... Celui ci est passable, peut intéressant, bref n'apporte rien de neuf...A éviter...."
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=1,"2,0",Roger D,"Le soucis avec les ""origine story"" est que la fin est connu si on à vu ou même entendu parlé des films précédents qui font, donc office, de suite il y a quelques années. Donc surprise final = 0. Ensuite le film met beaucoup beaucoup trop de temps à se mettre en place...et c'est dommage car une fois que cela part j'ai trouvé le film intéressant même si l'intrigue est facile (faut pas être noeud noeud pour vite comprendre). Cela donne des petits moments de stress mais trop peu et puis encore une fois il faut qu'une américaine vienne pour qu'elle soit ce qu'elle va être...et comme j'ai vu la même situation il y a quelques jours dans ""Immaculée"" ben cela m'a un chouia gonflée. Bref le film donne du grain à moudre pour savoir en effet l'origine (sale bête!!) mais sinon rien de bien transcendant.NOTE : 4/10"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=1,"4,5",Dune : Deuxième Partie,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=1,"4,3",Frères,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=1,"4,3",Amal - Un esprit libre,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=1,"4,3",Il reste encore demain,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=1,"4,3",Une vie,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=1,"4,2",Le Royaume de Kensuke,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=2,"4,0",Salomé HOURADOU-EKAMBI,"Préquel de The Omen dans les années 70.L'ambiance pesante est là, le fil conducteur est tenu, on comprends d'où vient Damien.Très sanglant part moment, 
spoiler: 
les scènes d'accouchements tout particulièrement.
Un préquel logique et ancré dans l'histoire sans décalage."
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=2,"0,5",Ghighi19,Sans doute l un des plus mauvais film que j ai eu la malchance de voir . Comment flinguer une série de films qui pourtant tenait vraiment la route même avec le dernier volet qui était peut être un peu en dessous . Ici le côté girl power frise la bêtise. La comédienne est ridicule la réalisation moche et prétentieuse. Si vous avez aimé les autres films de La Malédiction nous vous infligez pas ça.
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=2,"1,5",paulbe,"Tres proche de ""Immaculée"" en terme de scénario/ambiance, il s agit tout autant de la naissance d'1 démon.A choisir je dirais qu 4imaculée était au-dessus a tout niveau... cette malédiction est donc pour moi un Immaculée a faible budget...Beaucoup de longueurs , très peu de scenes vraiment horrifique, je le situe en bas de classement de la quinzaine de films du genre vus depuis 1 an.... (Terrifier2 et Saw X mènent la danse ...)"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=2,"4,0",Fabien Sorrant,Un très bon film d'horreur qui revient aux origines de la malédiction avec des scènes terrifiants et très horrifiques.
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=2,"3,0",Fabien D,"Coïncidence ou non, il y a beaucoup de similitude entre le récent Immaculée et ce prequel de la malédiction qui présentent tous deux l'enfantement sous un jour effrayant. En terme de mise en scène, la malédiction, même s'il use de jumpscares pas toujours efficaces d'ailleurs, réussit à transcrire quelque chose de années 70 en Italie et notamment son contexte politique. Si le film n'est pas dénué de scènes attendues pour ne pas dire déjà vue, il est assez soigné et distille une ambiance assez pesante. Il réussit d'ailleurs en évitant le piège de la surenchère gore, les scènes qui auraient pu virer au grand-guignolesque pour leur conférer un réalisme inquiétant. La malédiction est assez singulier avec une scène évoquant même le Possession de Zulawski et réussit même à avoir, comme le récent Immaculée, une portée féministe. Un film de série B au-dessus de la moyenne du genre qui se permet quelques audaces sans pour autant sortir d'un schéma narratif assez balisé. Bref, un retour plaisant à la nunsploitation non dépourvu d'intérêt bien que l'on aurait aimé que l'ensemble aille un peu plus loin."
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=2,"4,0",Rudy M,"Moins tapageur que beaucoup de films de ce genre il n’en reste néanmoins très réussi avec ce coté très psychologique et dérangeant , j’ai vraiment beaucoup aimé"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=2,"4,0",Paul N.,"Comme toute saga qui se respecte, un personnage apporte toujours 
spoiler: 
une part de mensonge dont le principal protagoniste doit au bout du compte résoudre ke vrai du faux
, et ce principal antagoniste est Robert Thorn dans le film de 1976. Or, le préquel est très réussi et nous donne les vrais réponses sur les vrais parents de Damien. Il faut seulement revoir toutes les règles qui se respectent à chaque saga et on finit par comprendre."
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=2,"3,0",mat niro,"N'ayant pas vu le film original de Richard Donner datant de 1976, j'ai trouvé ce préquel d'Arkasha Stevenson plutôt convenable. On peut y retrouver des acteurs de GOT ainsi que des ""classiques"" du genre, comme Rolph Ineson dans le rôle du prêtre. La reconstitution du Rome des années 70 et les jeux de lumière accompagnés de superbes musiques et toiles magnifiques contribuent à donner un côté esthétique non négligeable. Les puristes y verront peut-être une histoire trop prévisible mais pour ma part, j'ai trouvé la fin déroutante et bien sentie. On peut reprocher à la cinéaste les hallucinations à répétition de notre héroïne qui font un peu perdre le fil du film. Sinon, c'est tout à fait correct et moins gore que prévu."
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=2,"3,5",Adelme d&#039;Otrante,Quelques semaines après « L’immaculée » retour en Italie avec ses nonnes et une grossesse impliquant également un être sortant de l’ordinaire. Le film porte bien son sous-titre puisqu’il se termine là où la trilogie initiale des années 80 commence. Le terrain emprunté est déjà balisé mais il est efficace et se regarde sans peine. Et puis Nell Tiger Free (déjà remarquable chez Shyamalan ou Winding Refn) a une beauté froide et étrange parfaitement adéquate pour ce genre de film.
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=2,"4,0",gregoire p,"j'ai bien aimer, mais un peu long pour avoir quelque chose d'effrayant et je m'attendais à plus d'horreurs, sinon bon film et de bons acteurs."
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=2,"4,5",kyu f,"excellent de A a Z. un film avec un structure très spéciale comment on en voit rarement, des acteurs inconnue au bataillon mais tous excellent qui donne vie à leur personnages, une histoire hyper extrêmement bien ficelée et bien pensée, de scenes horrifique originale et terrifiante avec certaines scènes gores comme j'en ai rarement vu. a voir absolument"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=2,"3,5",Stephan M.,"voir un film qui explique l'avant du premier de la saga sur le papier on se dit que encore un film qui ne sera pas à la hauteur du charme de la trilogie des années 70/80donc j'y suis aller en me disant que je ne vais pas retrouvé ce que j'ai aimé et je m'attend à rien avec ce filmet bien ce film évite certains pièges de vouloir refaire ce qui a été fait dans la surenchère à part une scène au début du film, pendant plus de la moitié du film on a pas l'impression d'être réellement dans un film d'horreur et c'est à son avantage, cela donne de l'épaisseur au film il y a une sobriété dans le film et une manière d'éviter tous les poncifs que l'on est un peu déstabilisépas de surenchère dans les effets, on ne cherche pas à nous faire une démonstration et il y a dans la dernière demi-heure quelques surprises et rebondissement que le ne voit pas arrivéle film ne respecte pas un élément qui me semble important : 
spoiler: 
le père de Damien c'est Satan et sa mère un chacal, dans le film des années 70 c'est un chacal avec une femme avec plusieurs tentatives d'une société secrète

les scène importante du film ne montre pas grand chose et suggère, ce qui est plutôt plaisant puisque cela évite d'être dans le ridicule la scène de la naissance m'a plutôt bien plu, on est dans le réalisme selon le succès du film, si il y a une suite cela ne sera peut être pas des remakes de l'ancienne saga, une autre possibilité de piste est créé dans ce film"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=2,"3,0",Lil Sprite,"Nouveau film de la saga La Malédiction, cette prequel est un film qui se suffit à lui-même, un stand alone qui pourra plaire aux fans et à un plus large publique. Je pense qu'il y a quelques références à la saga, que je n'avais malheureusement pas mais qui ne gêne pas du tout au visionnage du film. Le rythme est lent peut être un peu trop et je n'ai pas spécialement aimé l'histoire même si je reconnais que le film est techniquement réussi et qu'il jouit d'une actrice principale au top !"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=2,"4,5",Dune : Deuxième Partie,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=2,"4,3",Frères,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=2,"4,3",Amal - Un esprit libre,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=2,"4,3",Il reste encore demain,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=2,"4,3",Une vie,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=2,"4,2",Le Royaume de Kensuke,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=3,"2,0",Mathys G.,"Un énième film d'horreur qui se tente au challenge impossible d'utiliser avec originalité l'aspect religieux et c'est encore raté... Les bonnes idées sont rarissimes, l'esthétique n'est pas là et on ressort avec l'ennuyeux constat que non, ce film n'aura pas élevé le genre de l'épouvante au cinéma."
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=3,"3,0",fried W,l'image nous plonge dans l'époque le scénario est parfois un peu tirer par les cheveux mais ce film utilise les codes du 1er opus quelques années avant. bien
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=3,"4,5",Fabrice Bl.,"film passionnant toutefois déconseillé aux personnes n'ayant ni références culturelles, ni références cultuelles et finiront par montrer ostensiblement aux autres spectateurs qu'ils s'ennuient durant la séance"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=3,"5,0",Yassine Moinet,"Très immersive, du début à la fin ,
spoiler: 
[/s[spoiler]

spoiler:"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=3,"2,0",mathis 2.0,un film soit disant interdit au moins de 16 ans . je trouve ce film beau mais ne fait aucunement peur il y a juste des moment de sursaut . Déçus
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=3,"0,5",Stephane Gst,Sorte de cinécitta qui vient gâcher le retour du genre. L’absence de scénario m’a plongé dans un ennui total.
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=3,"0,5",Juu,"Ce n'est pas un film, c'est une catastrophe ! La performance des acteurs est nulle et c'est une histoire déjà vue à maintes reprises sur les nonnes italiennes malveillantes. C'est l'un des pires films d'horreur que j'ai vu récemment."
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=3,"3,5",zwaryszczuk felix,"J'ai aimé ce film Il est bien interprété Bien réalisé Les scènes tournées à Rome sont splendides.Le synopsis tourne autour de l'antéchrist et de l'idée fumeuse que si un tel individu apparaissait alors tous les individus rejoindraient l'église, la vraie.Il faut des films de ce genre. Il faut du courage pour aborder un tel sujet et le film est réussi"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=3,"4,0",Raphaël C.,"Très bonne surprise que ce prequel d’une histoire que je ne connais pas. L’atmosphère 70’s est très crédible, la photo magnifique, tout comme les décors, pesants, emprunts de la puissance du passé et de lourds secrets. Un film d’atmosphère avant d’être un film d’horreur à mon sens, à la réalisation soignée. À ne pas manquer pour les amateurs d’histoires sordides !"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=3,"5,0",Manboy,"Bonjour, je ne comprends absolument pas comment La Malédiction l'Origine peut être autant critiqué et avoir une note si basse. Pour ceux qui attendent un film avec full screamer vous êtes pas au bon endroits. Ce film et complétement incroyable, le jeu d'acteur est sublime. Ce film vous fit utiliser vos neurones si vous en avez, pour rassembler toutes les pièces du puzzle. De plus e n'est pas qu'un film d'horreur, mais un film entre conflit religieux et conflit d'Etat ainsi que d'enquête, de gore et d'horreur. La relation entre Margaret et Carlita j'adore. J'ai été voir le film 2 fois et je compte y retourner."
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=3,"0,5",Mehdi3925,"Amateur de film d’horreur ne payer pas pour ce navet , alors que les bandes annonce te font croire a un super film , Aucune once de frisson alors l’horreur n’en parlons pas. Vous allez attendre tout le film de sursauté ou d’avoir ne serai-ce que les poils qui se dressent j’attends toujours …"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=3,"0,5",Yuna Gomes,Alors franchement c’est nul concrètement on comprends pas tout une bête sortie de nulle part et une fin bâclée avec un nom pour le diable aléatoire « Damien »
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=3,"4,5",Céline Ange,"Bien entendu ce n'est pas un film d'épouvante où l'on se cache les yeux. Mais quelle agréable surprise !! Le scénario, les prises de vue, les acteurs, la photographie, la bande son ... tout est parfait. Assez friande des films du genre et sortant des séances souvent déçue j'ai trouvé celui ci vraiment excellent !! Tout tient la route ! Je le recommande !"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=3,"4,5",Dune : Deuxième Partie,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=3,"4,3",Frères,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=3,"4,3",Amal - Un esprit libre,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=3,"4,3",Il reste encore demain,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=3,"4,3",Une vie,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=3,"4,2",Le Royaume de Kensuke,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=4,"3,0",The CritizMan,"Il y a vraiment trop de longueurs, cependant le film offre de beaux décors avec une mise en scène qui cherche à mettre en avant le caractère monstrueux de la bête. Les acteurs jouent tous très bien et une fois que le film démarre, environ trente minutes plus tard, c'est un tourbillon d'horreur et de gore qui nous enveloppe... En résumé, c'est plutôt pas mal !"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=4,"0,5",freddy taieb,"Aucun sens à cette histoire qui ne tient pas debout, pour arriver au chef d’œuvre avec Gregory Pec de 1975"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=4,"4,5",Guillaume baux,Vu en avant-première film très intéressant sur les origines de cette saga d’horreur j’ai beaucoup aimé le coté psychologique du film
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=4,"3,5",Bxsxdarkdog,Film classique pas vraiment horrifique mais qui donne envie de découvrir la série des année 70 avec un bon jeu de l'actrice principale. Rien de révolutionnaire dans le film mais film agréable.
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=4,"4,5",Thomas vosse,"Excellent film d'horreur ! Les enjeux sont crédibles, les rebondissements sont top, les jump scare sont bien amenés. Avec pour couronner le tout de belles scènes gorres bien faites c'était très sympa !"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=4,"4,0",Renaud Bordas,Le film permet de passer un bon moment et fait sursauter. La conspiration est une belle trouvaille. Quelques rebondissements totalement inattendus même pour moi qui me laisse difficilement surprendre. Belles images. Le Rome de 1976 est fidèle. On s'attache à l'héroïne dont Le jeu est magistral : certaines scènes ont du être dures à interpréter.
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=4,"0,5",Ahmad Zeidan,"Un énorme film d’horreur qui vous fera dormir sur votre chaise. Les acteurs se forcent à jouer, l’histoire est mal écrite et le scénario et tellement prévisible."
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=4,"4,0",Ace938824,"Très bonne surprise! C’est Immaculé en plus abouti. En effet, les deux films ont énormément de similitudes au niveau de l’histoire, mais celui-ci arrive à rendre cohérent ce qu’il raconte . L’image est magnifique et il y a un vrai travail de mise en scène et des vraies recherches visuels. Il n’est pas spécialement horrifique malgré quelques Jump scare efficaces mais il arrive à installer une tension croissante et psychologique tout au long du film. La première partie du film et cependant un peu longue, je trouve . La toute fin quant à elle, et pour le coup moins impactante et abouti que celle d’immaculé. En bref un film sur les nonnes qui fait du bien . Mais putain Damien quoi il aurait pu trouver un nom moins Jacki tuning mdr"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=4,"0,5",Niko,"Quel cauchemar diabolique. Dans le sens une horreur à regarder : laid, lent sans action, gluant, pénible, fatiguant.Il ne se passer rien, puis pique de violence laide,et ça recommence 1/2 h après. Une insulte à l'original, à regarder gratuitement sur YouTube."
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=4,"5,0",Kenpachi Zarakii,"Un grand merci à absolument tous les acteurs, et à l'ensemble du casting qui a tourné, monté et écrit le film mérite également notre attention. la mise en scène des scènes, leur mouvement, je dirai que tous les moments sont à leur place, et les personnages sont à leur place, je noterai l'agréable attention des monteurs, et un immense merci au cinéma Megarama. Je noterai quelques points, en détail la scène où Margarita et d'autres personnages s'amusent avec une petite fille et le sourire se transforme en sérieux, des plans qui seront remarqués par ceux qui devraient les remarquer, une explosion ! Je ne voulais pas, je dirai brièvement pour que le film se termine"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=4,"2,0",Thomas39,"C’est ici la sagesse...Pourquoi « La Malédiction : l’Origine » (30 millions $) obtient une note aussi basse ?Il y a plusieurs origines à cette disgrâce.Une Saga malmenée : Une trilogie initiée en 1976 et terminée en 1981, un téléfilm (amusant finalement) sorti 1991, un remake inutile (copier-coller de 1976) en 2006 et une série dérivée en 2016, intitulée « Damien » (no comment).« Omen : La Malédiction » de 1976 (2 Millions $ - environ 11 Millions $ en 2024) est bien entendu la Référence de notre sujet et souffre comme tous les films du genre, d’une multitude de suites/préquelles originales ou non, dont on aurait largement pu se passer.La sortie en salle du film « Immaculée » le 20 mars dernier n’arrange rien au film. Ce qui fait la différence entre « Immaculée » et notre film… Tout est dans le Titre justement !« Immaculée » est indépendant et le film n’est pas estampillé « Omen : La Malédiction ».Dès lors, nous n’attendons rien en retour et ce film est finalement très intéressant à ce titre.Le mot « préquel/lle » me fait d’avantage peur que le film lui-même en définitive.Il faut respecter un fil conducteur avec le film de Référence de 1976. Il ne faut pas juste ressortir des noms/personnages du premier Opus mais faire attention à la trame narrative initiale. C’est ici que réside le problème majeur du film.Je pense que nous sommes tous, au choix : « traumatisés » / « attristés » / « gavés » par le monde « fantastique » des Nonnes. De « Conjuring 2 », en passant par « Benedetta », jusqu’à une publicité italienne pour des chips, la Nonne est à la Une, Elle qui ne rêve que de Silence. Le casting est étoilé et le film, en lui-même n’est pas mauvais dans « sa forme » : réalisation et style originaux...Mais attention, il ne faut pas avoir vu la saga Omen et encore moins « Immaculée » préalablement."
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=4,"3,5",Tristana Lorca,"Beaucoup trop similaire, et ce en tous points, avec le très récent ""Immaculée"", on est vraiment pas loin du plagiat..... ms j'ai qd-même préféré celui-ci, bien plus sombre, angoissant et machiavélique....."
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=4,"2,0",Wanebest,"Il y’a beaucoup mieux, film long à la détente pour espérer un peu d’horreur et fin très compliqué à comprendre"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=4,"4,5",Dune : Deuxième Partie,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=4,"4,3",Frères,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=4,"4,3",Amal - Un esprit libre,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=4,"4,3",Il reste encore demain,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=4,"4,3",Une vie,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=4,"4,2",Le Royaume de Kensuke,
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=5,"1,0",Captain Movies1234,"J'ai vraiment pas aimé, le film n'apporte rien de nouveau ça ne vaut pas le coup de le voir au cinéma. Je déconseille"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=5,"0,5",Enzo Pages,Intronchable rien d’intéressant une histoire naze toujours le même genre de film avec des Nones l’histoire n’a aucun sens le film est censé faire peur j’attends toujours je ne recommande en aucun cas ce film.
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=5,"1,0",Ana Wt,"Le film d’horreur le plus éclaté, j’ai jamais vu un truc aussi nul, inintéressant,scénario nul, jumpscare nul, fuyez ce film ne dépensez surtout pas votre argent dans celui ci"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=5,"4,0",Kiara Kbal,"Le film est vraiment pas mal, il n'est pas exceptionnel, mais n'est pas en dessous de mes attentes celon moi."
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=5,"1,0",mariana REGENT,"Très déçu de ce film, aucune terreur. Je suis une grande amatrice de film d'horreur et je n'ai eu aucune adrénaline. Tellement peu de frissons que je me suis ennuyée et endormie. Il devrait être interdit aux moins de 12 ans."
